timestamp_sec,person_lat,person_lon,drone_lat,drone_lon,error_meters
1771590328.761753321,28.753562929,77.115654767,28.753561900,77.115657300,0.2721
1771590328.795126915,28.753562612,77.115654986,28.753561900,77.115657300,0.2390
1771590328.961996555,28.753562433,77.115660654,28.753562000,77.115657400,0.3209
1771590328.995370150,28.753562477,77.115660491,28.753562000,77.115657400,0.3059
1771590329.028743982,28.753562847,77.115660169,28.753562000,77.115657400,0.2859
1771590329.128865004,28.753563226,77.115657696,28.753562500,77.115657500,0.0830
1771590329.162238836,28.753563134,77.115657466,28.753562500,77.115657500,0.0706
1771590329.195612192,28.753563545,77.115657174,28.753562500,77.115657500,0.1204
1771590329.262359142,28.753563050,77.115657007,28.753562500,77.115657500,0.0778
1771590329.295731306,28.753563162,77.115657107,28.753562500,77.115657500,0.0830
1771590329.329102993,28.753564198,77.115656270,28.753562900,77.115657500,0.1876
1771590329.395846605,28.753563794,77.115655986,28.753562900,77.115657500,0.1780
1771590331.231351614,28.753559866,77.115659721,28.753562900,77.115657500,0.4008
1771590331.398220539,28.753560792,77.115661554,28.753562400,77.115655700,0.5980
1771590331.431594133,28.753560700,77.115661810,28.753562400,77.115655700,0.6249
1771590331.498341560,28.753560752,77.115662671,28.753562400,77.115655700,0.7039
1771590331.565089226,28.753560288,77.115664389,28.753562400,77.115655700,0.8790
1771590331.598462820,28.753558589,77.115668542,28.753561800,77.115655800,1.2924
1771590331.631836653,28.753557749,77.115669855,28.753561800,77.115655800,1.4423
1771590331.665210485,28.753557830,77.115671325,28.753561800,77.115655800,1.5765
1771590331.731958866,28.753557683,77.115673643,28.753561800,77.115655800,1.7986
1771590331.932201862,28.753557581,77.115681639,28.753561400,77.115656100,2.5256
1771590331.998949528,28.753560077,77.115679902,28.753561400,77.115656100,2.3249
1771590332.065696955,28.753559852,77.115668698,28.753561800,77.115656200,1.2375
1771590332.099070787,28.753560636,77.115668033,28.753561800,77.115656200,1.1608
1771590332.165818691,28.753562374,77.115666967,28.753561800,77.115656200,1.0516
1771590332.299318790,28.753560189,77.115666672,28.753561800,77.115656200,1.0364
1771590332.466207981,28.753559151,77.115666095,28.753561800,77.115656300,0.9992
1771590332.566341400,28.753557648,77.115665650,28.753561800,77.115656300,1.0217
1771590332.699852705,28.753559850,77.115666671,28.753561800,77.115655800,1.0817
1771590332.733230829,28.753560249,77.115666216,28.753561800,77.115655800,1.0299
1771590332.766608953,28.753560096,77.115666379,28.753561800,77.115655800,1.0486
1771590332.799986839,28.753560207,77.115666365,28.753561800,77.115655800,1.0451
